,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
33,242.16378249574257,412.5379439370864,414.64394083828057,342.29667953308604,6,14,13,7
34,216.46985635838672,364.2097172844635,365.08646201755437,294.14452743445077,8,14,14,6
35,287.31533668083205,390.0498133261442,390.0498133261442,392.58374392415743,4,11,11,7
36,262.9827262733463,391.21527805644627,392.2379151135874,318.6485678613067,3,13,13,10
37,262.9827262733463,391.21527805644627,392.2379151135874,318.6485678613067,3,13,13,10
38,218.32278677927883,406.5531031307073,406.5531031307073,324.20110653460927,7,13,13,6
39,235.01775545825546,417.10295036385685,417.43280485952374,302.3243119117648,5,18,18,13
40,222.02054574570508,419.6494648934017,423.1918876425239,257.1755088073661,4,18,18,14
41,240.07310699926788,405.7331182329176,405.7331182329176,326.17628238065134,8,14,14,6
42,240.07310699926788,405.7331182329176,405.7331182329176,326.17628238065134,8,14,14,6
43,213.2742648042843,394.3563677517555,394.3563677517555,296.9247388286423,5,13,13,8
44,213.2742648042843,394.3563677517555,394.3563677517555,296.9247388286423,5,13,13,8
45,226.90920127260944,377.3857074811022,377.3857074811022,226.72651900952854,3,11,11,8
46,254.2910980752749,403.2914268811911,404.58601433593833,321.59376000463214,3,17,17,14
47,254.2910980752749,403.2914268811911,404.58601433593833,321.59376000463214,3,17,17,14
48,248.02534902405915,418.9774289496491,420.7655610583285,272.5207686495743,4,16,16,12
49,248.02534902405915,418.9774289496491,420.7655610583285,272.5207686495743,4,16,16,12
50,223.45435766185088,406.99339510274547,407.26386172081584,270.6324264535802,4,15,14,10
51,223.45435766185088,406.99339510274547,407.26386172081584,270.6324264535802,4,15,14,10
0,237.14209806026884,403.31777446388014,403.31777446388014,287.92251489453616,3,17,17,14
1,275.520293623538,422.98008992536353,423.4791393114078,286.75884227695053,3,14,14,11
2,205.38971004462618,392.58444846156897,394.61020441960807,291.13746364060927,4,17,17,13
3,205.38971004462618,392.58444846156897,394.61020441960807,291.13746364060927,4,17,17,13
4,324.8644564561413,422.3081807493869,422.4187494458534,334.03351731458537,1,12,13,12
5,324.8644564561413,422.3081807493869,422.4187494458534,334.03351731458537,1,12,13,12
6,216.55184123095142,398.48084300702664,404.7159835613153,341.2717627233919,6,16,17,11
7,216.55184123095142,398.48084300702664,404.7159835613153,341.2717627233919,6,16,17,11
8,229.8079121230403,404.00059869802425,410.69057490360115,296.92554850111554,7,16,17,10
9,234.1311850406351,408.47376139980537,408.47376139980537,313.7477992113987,6,15,15,9
10,234.1311850406351,408.47376139980537,408.47376139980537,313.7477992113987,6,15,15,9
11,253.0911513581171,420.87675483970327,420.87675483970327,279.44416612532893,2,16,16,14
12,281.8748403792973,441.4444949721053,442.3908509895211,287.9026668076382,1,14,13,12
13,260.3453494813337,423.1942767808203,423.32972246599843,266.37317590967456,1,13,14,13
14,260.3453494813337,423.1942767808203,423.32972246599843,266.37317590967456,1,13,14,13
15,224.8858204857696,397.3581525466796,399.5157732416598,259.1353510503742,4,15,15,11
16,224.8858204857696,397.3581525466796,399.5157732416598,259.1353510503742,4,15,15,11
17,241.11912976367313,403.74078399587637,404.1756633029639,288.2825802189172,4,14,14,10
18,276.4005158210097,423.50594361761165,430.16931188560307,333.3171941065373,4,16,16,12
19,251.77917540739003,385.2079641679219,385.20796416792183,261.5674023327111,2,14,14,12
20,251.7353732610614,337.64713817072936,337.6471381707293,314.5701390504465,3,9,9,6
