,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
244,69.93853843985951,69.93853843985951,69.93853843985951,0,0,0
245,69.93853843985951,69.93853843985951,69.93853843985951,0,0,0
246,26.910904845532023,59.61309061264304,37.79563449504879,1,3,2
247,35.87911611268949,38.705594668650875,41.64928493336421,1,1,0
248,39.81125436760963,66.56868585758764,39.81125436760962,0,3,3
249,39.81125436760963,66.56868585758764,39.81125436760962,0,3,3
250,65.02504628516645,86.00809383395112,65.02504628516645,0,2,2
251,60.181885325565474,71.19185272309798,69.5513417137366,1,2,1
252,60.181885325565474,71.19185272309798,69.5513417137366,1,2,1
253,49.58000037195955,69.78440938761744,71.03537365924878,1,3,2
254,49.58000037195955,69.78440938761744,71.03537365924878,1,3,2
255,67.4719761441956,88.1718422362932,67.4719761441956,0,2,2
256,49.417870222808304,62.621930816932455,49.417870222808304,0,2,2
257,49.417870222808304,62.621930816932455,49.417870222808304,0,2,2
258,75.82922983783635,96.2864097150211,83.13556264460529,1,2,1
259,28.704701645748568,62.274591397856845,49.56172374949814,1,2,1
260,28.704701645748568,62.274591397856845,49.56172374949814,1,2,1
261,44.229181764161424,72.34843220865446,44.229181764161424,0,1,1
262,104.05423547383657,106.42755379883238,104.05423547383657,0,1,1
263,104.05423547383657,106.42755379883238,104.05423547383657,0,1,1
264,71.78303184966728,82.20417943038368,71.7830318496673,0,2,2
265,68.62357898081223,101.78356902261554,86.28285879895715,2,2,0
266,68.62357898081223,101.78356902261554,86.28285879895715,2,2,0
267,73.02566060225102,93.76020489956454,73.02566060225102,0,2,2
268,57.51820556907066,78.60640791170596,57.51820556907065,0,2,2
269,57.51820556907066,78.22195615034884,57.51820556907066,0,2,2
270,68.86511409550641,81.39426729764145,100.58425971246567,1,3,2
271,53.76988892884671,60.15722519591655,54.75047868315371,1,2,1
272,53.76988892884671,60.15722519591655,54.75047868315371,1,2,1
273,45.26757840749911,75.00678039752293,54.91232127112535,1,3,2
274,37.28575415561541,77.80575068963888,57.1976871586382,2,4,2
275,37.28575415561541,77.80575068963888,57.1976871586382,2,4,2
276,62.88017539294323,77.91460756041927,62.88017539294324,0,1,1
277,41.123421650836164,81.81887751990729,70.2954715870385,1,4,3
278,41.123421650836164,81.81887751990729,70.2954715870385,1,4,3
279,39.18272669451943,80.21437311900473,62.41892122095512,2,2,0
280,65.96087704662901,83.48579173629753,65.96087704662901,0,2,2
281,65.96087704662901,83.48579173629753,65.96087704662901,0,2,2
282,49.88955626134035,63.42071477003717,87.58971510434709,2,2,0
283,32.15870096858501,66.90799514667837,36.1544571885993,1,3,2
284,32.15870096858501,66.90799514667837,36.1544571885993,1,3,2
285,35.35793890221552,65.08788647664315,73.11186939351393,2,2,0
286,74.87007129835678,74.87007129835678,74.87007129835678,0,0,0
287,74.87007129835678,74.87007129835678,74.87007129835678,0,0,0
288,29.893996453085883,61.1937432428502,53.07748581066123,1,3,2
289,55.308647010967654,81.74053955427091,65.02435523077047,1,3,2
290,55.308647010967654,81.74053955427091,65.02435523077047,1,3,2
291,76.564850769058,101.18310235772707,76.564850769058,0,2,2
292,85.04182486801336,85.04182486801336,85.04182486801336,0,0,0
293,85.04182486801336,85.04182486801336,85.04182486801336,0,0,0
294,53.69754531533556,54.63950258707007,70.06732981182516,1,1,0
295,46.18474783740767,73.46834309049098,67.54306874552553,2,3,1
296,46.18474783740767,73.46834309049098,67.54306874552553,2,3,1
297,22.18461263040965,44.38965366122724,22.18461263040965,0,2,2
298,54.365348789792776,80.81017909325774,54.365348789792776,0,2,2
299,54.365348789792776,80.81017909325774,54.365348789792776,0,2,2
300,79.918646931777,92.82369911129727,103.65140828615296,1,3,2
301,57.8924213080503,79.99446135578285,57.8924213080503,0,3,3
302,57.8924213080503,79.99446135578285,57.8924213080503,0,3,3
303,75.34991089231094,91.54817540012786,101.25249231041042,1,1,0
304,69.27137310264021,67.34609016183514,69.27137310264021,0,1,1
